stn    time           rre150d0
AMW    19021120            0.0
AMW    19021121            0.0
AMW    19021122            0.0
AMW    19021123            0.0
AMW    19021124            0.3
AMW    19021125            2.4
AMW    19021126            2.3
AMW    19021127            0.0
AMW    19021128            0.6
AMW    19021129            0.0
AMW    19021130            0.0
AMW    19021201            3.5
AMW    19021202            2.7
AMW    19021203            9.3
AMW    19021204            1.8
AMW    19021205            0.0
AMW    19021206            2.5
AMW    19021207            0.0
AMW    19021208            0.0
AMW    19021209            0.0
AMW    19021210            0.0
AMW    19021211            0.0
AMW    19021212            0.0
AMW    19021213            0.0
AMW    19021214            0.0
AMW    19021215            3.1
AMW    19021216            6.6
AMW    19021217            0.0
AMW    19021218           11.2
AMW    19021219            6.3
AMW    19021220            3.7
AMW    19021221           14.5
AMW    19021222            0.0
AMW    19021223            0.0
AMW    19021224            0.0
AMW    19021225            0.0
AMW    19021226            4.2
AMW    19021227            0.0
AMW    19021228            0.0
AMW    19021229            0.0
AMW    19021230            4.3
AMW    19021231            0.0
AMW    19030101            0.0
AMW    19030102            7.8
AMW    19030103            1.8
AMW    19030104            4.1
AMW    19030105            0.0
AMW    19030106            0.0
AMW    19030107            0.0
AMW    19030108            0.0
AMW    19030109            0.0
AMW    19030110            0.0
AMW    19030111            6.8
AMW    19030112           11.8
AMW    19030113            0.1
AMW    19030114            0.0
AMW    19030115            0.0
AMW    19030116            0.0
AMW    19030117            0.0
AMW    19030118            0.0
AMW    19030119            0.0
AMW    19030120            0.0
AMW    19030121            0.0
AMW    19030122            0.0
AMW    19030123            2.8
AMW    19030124            0.0
AMW    19030125            0.0
AMW    19030126            0.0
AMW    19030127            0.0
AMW    19030128            0.0
AMW    19030129            0.0
AMW    19030130            0.0
AMW    19030131            0.0
AMW    19030201            2.3
AMW    19030202            0.9
AMW    19030203            0.2
AMW    19030204            0.0
AMW    19030205            0.0
AMW    19030206            0.0
AMW    19030207            0.0
AMW    19030208            0.0
AMW    19030209            1.4
AMW    19030210            0.0
AMW    19030211            0.0
AMW    19030212            0.0
AMW    19030213            0.0
AMW    19030214            0.0
AMW    19030215            7.1
AMW    19030216            0.0
AMW    19030217            0.0
AMW    19030218            0.0
AMW    19030219            0.0
AMW    19030220            0.0
AMW    19030221            0.0
AMW    19030222            0.0
AMW    19030223            3.7
AMW    19030224            0.0
AMW    19030225            0.0
AMW    19030226            0.0
AMW    19030227            0.0
AMW    19030228            7.5
AMW    19030301            2.0
AMW    19030302            1.2
AMW    19030303            7.4
AMW    19030304            0.0
AMW    19030305            0.0
AMW    19030306            3.9
AMW    19030307            0.0
AMW    19030308            0.6
AMW    19030309            0.0
AMW    19030310            0.0
AMW    19030311            0.0
AMW    19030312            0.0
AMW    19030313            0.0
AMW    19030314            0.0
AMW    19030315            0.0
AMW    19030316            4.5
AMW    19030317            0.6
AMW    19030318            4.0
AMW    19030319            0.0
AMW    19030320            0.0
AMW    19030321            0.0
AMW    19030322            0.0
AMW    19030323            0.0
AMW    19030324            0.0
AMW    19030325            0.0
AMW    19030326            0.0
AMW    19030327            0.0
AMW    19030328            0.0
AMW    19030329            0.0
AMW    19030330            2.7
AMW    19030331            3.8
AMW    19030401            0.3
AMW    19030402            0.8
AMW    19030403            2.6
AMW    19030404            1.6
AMW    19030405            3.3
AMW    19030406            0.0
AMW    19030407            7.4
AMW    19030408            5.5
AMW    19030409            1.7
AMW    19030410            7.2
AMW    19030411            0.9
AMW    19030412            3.3
AMW    19030413            1.3
AMW    19030414            0.0
AMW    19030415            1.8
AMW    19030416           11.1
AMW    19030417            0.9
AMW    19030418            1.0
AMW    19030419            2.1
AMW    19030420            0.0
AMW    19030421            0.0
AMW    19030422            0.0
AMW    19030423            0.0
AMW    19030424            0.0
AMW    19030425            0.0
AMW    19030426            0.0
AMW    19030427            0.0
AMW    19030428            0.0
AMW    19030429            1.8
AMW    19030430            0.0
AMW    19030501            5.2
AMW    19030502            2.8
AMW    19030503            0.0
AMW    19030504            0.7
AMW    19030505            0.0
AMW    19030506            0.0
AMW    19030507            1.6
AMW    19030508            1.9
AMW    19030509            1.4
AMW    19030510            0.1
AMW    19030511            0.4
AMW    19030512            4.9
AMW    19030513            5.8
AMW    19030514            0.0
AMW    19030515            1.1
AMW    19030516            5.8
AMW    19030517            3.8
AMW    19030518            0.0
AMW    19030519            0.0
AMW    19030520            0.0
AMW    19030521            0.0
AMW    19030522            0.0
AMW    19030523            0.0
AMW    19030524            0.0
AMW    19030525            0.0
AMW    19030526            0.0
AMW    19030527            0.0
AMW    19030528            0.0
AMW    19030529            0.0
AMW    19030530            0.0
AMW    19030531            0.0
AMW    19030601            0.0
AMW    19030602           50.5
AMW    19030603            6.5
AMW    19030604            0.4
AMW    19030605            0.0
AMW    19030606            0.0
AMW    19030607            3.0
AMW    19030608            1.4
AMW    19030609            0.0
AMW    19030610            1.2
AMW    19030611            0.0
AMW    19030612            1.8
AMW    19030613            7.8
AMW    19030614            3.4
AMW    19030615            1.1
AMW    19030616            3.9
AMW    19030617            0.0
AMW    19030618            0.0
AMW    19030619            0.6
AMW    19030620            6.8
AMW    19030621           24.3
AMW    19030622            6.6
AMW    19030623            0.0
AMW    19030624            0.5
AMW    19030625            0.0
AMW    19030626            0.0
AMW    19030627            0.0
AMW    19030628            0.0
AMW    19030629            0.0
AMW    19030630            5.0
AMW    19030701            0.0
AMW    19030702            0.0
AMW    19030703            0.5
AMW    19030704            5.1
AMW    19030705            7.5
AMW    19030706            5.3
AMW    19030707            8.4
AMW    19030708           26.2
AMW    19030709            0.1
AMW    19030710            0.0
AMW    19030711            0.0
AMW    19030712            5.4
AMW    19030713            0.6
AMW    19030714            0.0
AMW    19030715            0.0
AMW    19030716            0.0
AMW    19030717            6.1
AMW    19030718           16.2
AMW    19030719           37.3
AMW    19030720            0.0
AMW    19030721            4.3
AMW    19030722            0.0
AMW    19030723           13.9
AMW    19030724           11.3
AMW    19030725            0.0
AMW    19030726            5.8
AMW    19030727            8.0
AMW    19030728            2.4
AMW    19030729            8.1
AMW    19030730            2.7
AMW    19030731            1.2
AMW    19030801            0.0
AMW    19030802            0.0
AMW    19030803            6.1
AMW    19030804            0.0
AMW    19030805            0.0
AMW    19030806            0.0
AMW    19030807            0.0
AMW    19030808            0.0
AMW    19030809            2.8
AMW    19030810            5.2
AMW    19030811            0.0
AMW    19030812            5.3
AMW    19030813            0.0
AMW    19030814           14.7
AMW    19030815           44.6
AMW    19030816            0.0
AMW    19030817            2.0
AMW    19030818           17.6
AMW    19030819           29.8
AMW    19030820            0.0
AMW    19030821            0.0
AMW    19030822            0.5
AMW    19030823            5.2
AMW    19030824            0.0
AMW    19030825           10.0
AMW    19030826            0.0
AMW    19030827            0.0
AMW    19030828            0.0
AMW    19030829            1.6
AMW    19030830            0.0
AMW    19030831            0.0
AMW    19030901            0.0
AMW    19030902            0.0
AMW    19030903            0.0
AMW    19030904            0.0
AMW    19030905            0.0
AMW    19030906            0.0
AMW    19030907            1.6
AMW    19030908            0.1
AMW    19030909            7.1
AMW    19030910            0.0
AMW    19030911            0.0
AMW    19030912            3.1
AMW    19030913           21.0
AMW    19030914            6.5
AMW    19030915           16.5
AMW    19030916            0.0
AMW    19030917            7.1
AMW    19030918            0.0
AMW    19030919            0.0
